rank,ticker,composite_score,insider_score,momentum_score,analyst_score,notes
1,AMD,72.15579017519094,50.0,100.0,57.18596725063648,+8.6% 1mo; +31.5% analyst upside
2,BAC,64.17106360082427,50.0,80.54558675083793,56.509429668296995,+4.5% 1mo; +22.0% analyst upside
3,NVDA,63.30427802566223,50.0,52.140235241164156,91.4939464306552,-2.7% 1mo; +51.0% analyst upside
4,ORCL,62.16630260909413,50.0,42.915756522735315,100.0,-4.0% 1mo; +69.3% analyst upside
5,AMZN,61.87690977638249,50.0,63.951020882424615,70.98833807804216,-0.3% 1mo; +32.2% analyst upside
6,GOOGL,58.811740483244876,50.0,63.263976931633294,61.68716570197186,-2.1% 1mo; +25.4% analyst upside
7,WFC,57.94928188853908,50.0,77.2562351953795,40.1559593679576,+3.8% 1mo; +21.3% analyst upside
8,BLK,57.4415106552937,50.0,54.199802388917384,69.20529899908914,+0.2% 1mo; +34.4% analyst upside
9,UNH,57.345081913112935,50.0,64.4230214058301,55.252911169269645,-1.3% 1mo; +27.2% analyst upside
10,DHR,57.126370724175885,50.0,50.78599872879469,72.70657077552671,-3.2% 1mo; +37.9% analyst upside
11,SPGI,56.25827102123737,50.0,55.444632044528696,63.60139401141962,-2.5% 1mo; +24.1% analyst upside
12,MSFT,55.16323105730235,50.0,26.712620622252903,98.26060936133729,-8.9% 1mo; +57.5% analyst upside
13,MA,54.551604182063144,50.0,47.61632051087676,68.35025325904147,-3.1% 1mo; +31.0% analyst upside
14,CSCO,53.838964269423315,50.0,75.39750855951914,28.933202818718833,+6.1% 1mo; +10.7% analyst upside
15,WMT,53.405164266961535,50.0,64.32254578527753,42.253819842835064,+2.2% 1mo; +7.3% analyst upside
16,AVGO,53.195357159561965,50.0,27.192102565113142,91.06172044505571,-8.9% 1mo; +50.0% analyst upside
17,META,52.24966529344432,50.0,27.2817572140011,87.78987469281296,-11.4% 1mo; +50.1% analyst upside
18,TMO,52.236667932035914,50.0,39.79081517071773,71.0678062124961,-4.2% 1mo; +35.5% analyst upside
19,V,52.08138361793202,50.0,41.49680955868662,68.27553264819123,-4.0% 1mo; +30.8% analyst upside
20,NFLX,51.70910825007509,50.0,63.82988310047026,37.25718336628995,+0.6% 1mo; +14.7% analyst upside
21,LIN,49.26739466249431,50.0,64.29956391223907,28.491896991995596,+3.6% 1mo; +2.9% analyst upside
22,CRM,48.856177445566914,50.0,29.55905555247782,73.44185074858596,-6.9% 1mo; +47.6% analyst upside
23,MRK,48.0305149118238,50.0,64.89095308690216,23.580445590209777,+4.0% 1mo; +6.4% analyst upside
24,GS,48.023399383270906,50.0,80.33712504752482,2.96183121420324,+4.1% 1mo; +10.1% analyst upside
25,JPM,47.83971351619586,50.0,65.36532677322455,22.311942689686784,+1.9% 1mo; +14.3% analyst upside
26,AAPL,47.32095446216987,50.0,57.59908082622043,30.937740438938988,-0.4% 1mo; +14.0% analyst upside
27,KO,47.014719748283106,50.0,53.7288472901598,35.07726944073063,-0.1% 1mo; +8.2% analyst upside
28,COST,45.42405070561942,50.0,61.410301112844614,19.53310086827193,+1.3% 1mo; +4.8% analyst upside
29,XOM,44.948827954743365,50.0,72.02350255477221,3.7980897761149364,+8.6% 1mo; -2.0% analyst upside
30,TXN,44.90201903601226,50.0,67.98194197569707,9.03080748577811,+1.6% 1mo; +11.1% analyst upside
31,LLY,44.560392944818034,50.0,30.873025180400425,57.3706095755262,-8.1% 1mo; +30.4% analyst upside
32,CAT,44.31307808259497,50.0,65.66659412301274,10.154801444632925,+2.3% 1mo; +2.9% analyst upside
33,ACN,42.880090195784426,50.0,36.60520367157217,44.1266957571852,-5.0% 1mo; +26.7% analyst upside
34,NEE,42.53441596287337,50.0,54.01392323336469,19.762822231758296,+0.8% 1mo; +2.0% analyst upside
35,CVX,42.255870612640756,50.0,53.953602720009464,18.914765082123225,+5.0% 1mo; +2.1% analyst upside
36,INTU,39.52920782422359,50.0,5.70180667548508,74.16161718009852,-11.9% 1mo; +44.6% analyst upside
37,RTX,39.31620816833113,50.0,43.47783225535679,23.08358422062805,-4.7% 1mo; +9.0% analyst upside
38,ISRG,39.25132939192469,50.0,19.69230562298884,54.58135714243052,-8.3% 1mo; +33.7% analyst upside
39,HD,38.544609346135054,50.0,29.66770784723254,38.925087357473465,-7.0% 1mo; +25.0% analyst upside
40,PM,38.51912647281233,50.0,23.34031053909427,47.276674190582085,-6.6% 1mo; +21.5% analyst upside
41,UPS,37.6722859309706,50.0,42.81670929392669,18.48534071133309,-2.8% 1mo; +16.4% analyst upside
42,ABT,36.41941882070779,50.0,12.238625822113477,55.07989497287467,-9.2% 1mo; +29.3% analyst upside
43,JNJ,36.333696279163846,50.0,45.722169817779005,10.149427840174134,-0.7% 1mo; +0.0% analyst upside
44,BRK-B,34.8012162323439,50.0,37.34038642174593,16.216872212151742,-4.2% 1mo; +9.8% analyst upside
45,MCD,33.32397718943341,50.0,30.282260447399572,20.703576701578598,-6.4% 1mo; +11.3% analyst upside
46,ABBV,32.70054934786242,50.0,12.481323044141249,42.36006710068639,-9.1% 1mo; +20.5% analyst upside
47,PEP,32.696277914821394,50.0,43.194742352176625,1.3946032465024958,-3.0% 1mo; +8.8% analyst upside
48,PG,32.01913578784591,50.0,20.308601574910192,29.65231719293945,-8.0% 1mo; +16.9% analyst upside
49,TSLA,22.013632530315874,50.0,0.0,23.37877510105291,-11.5% 1mo; +17.9% analyst upside
50,AMGN,19.296824780680378,50.0,10.742061951700943,0.0,-9.1% 1mo; +2.3% analyst upside
