rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,UNH,55.0,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
2,NEE,54.23863618114353,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
3,XOM,53.986635263032696,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
4,CVX,53.974073782965064,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
5,ABT,53.842580377697985,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
6,JNJ,53.608647155382435,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
7,BRK-B,53.415388627989685,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
8,LIN,53.27095980860133,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
9,TSLA,53.257174366541776,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
10,PM,53.14925292642417,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
11,RTX,53.03014366248914,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
12,KO,52.952828030974004,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
13,PG,52.89643472068536,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
14,WMT,52.64259987677591,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
15,MRK,52.594878552410655,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
16,TXN,52.53131489955745,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
17,MCD,52.36552499108991,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
18,WFC,52.3278227158568,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
19,HD,52.04599793061156,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
20,CAT,52.01836148500435,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
21,ABBV,51.90989282553924,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
22,NFLX,51.89978840677898,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
23,PEP,51.75360977201731,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
24,ISRG,51.73742904014507,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
25,COST,51.694133919681924,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
26,JPM,51.681255048986486,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
27,UPS,51.55802863693791,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
28,DHR,51.327283954934785,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
29,CRM,51.32506020464064,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
30,AAPL,51.05896266958506,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
31,SPGI,51.01586983091929,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
32,CSCO,50.983105272240486,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
33,V,50.978356940361714,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
34,ACN,50.90482382990321,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
35,GS,50.84006726574386,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
36,INTU,50.767108626269156,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
37,LLY,50.73925168136316,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
38,MA,50.63569105781726,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
39,AMZN,50.616909458269056,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
40,GOOGL,50.50778615422237,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
41,AMGN,50.31605409060112,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
42,BAC,50.27678005902968,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
43,BLK,50.00337751082311,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
44,META,49.98497396010339,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
45,TMO,49.69198496914608,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
46,MSFT,49.237733154013576,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
47,AVGO,48.68214375972474,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
48,NVDA,47.9828256238648,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
49,ORCL,47.92655703690252,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
50,AMD,45.0,50.0,50.0,50.0,Unknown,1.0,,,,+0.0% analyst upside
