rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,AMD,83.51144815718779,100.0,13.830683988092249,100.0,Technology,1.963,32.5,83.5,1.24,+71.5% 1mo; -15.6% analyst upside; EPS +217%; Rev +34%
2,LLY,60.31534478252517,24.159877371250552,65.0706950092031,90.44793005912437,Healthcare,0.504,22.1,55.9,1.16,+0.9% 1mo; +24.8% analyst upside; EPS +170%; Rev +56%
3,NVDA,58.81767566755738,26.79473437128982,90.60566882726707,70.41815714204411,Technology,2.335,17.7,58.1,0.87,+12.9% 1mo; +35.6% analyst upside; EPS +96%; Rev +73%
4,GOOGL,57.85495855644666,57.554828708381,54.431088796700756,49.72664561278233,Communication Services,1.128,28.5,86.9,0.93,+29.7% 1mo; +6.0% analyst upside; EPS +82%; Rev +22%
5,AMZN,52.20500196557169,48.33522048027588,63.42842170763796,45.70276925199723,Consumer Cyclical,1.383,27.3,82.9,0.98,+27.4% 1mo; +13.6% analyst upside; EPS +75%; Rev +17%
6,AVGO,47.43133302574812,54.79272197576035,63.61971007490772,34.820963653896456,Technology,1.253,23.3,69.5,0.77,+34.4% 1mo; +12.9% analyst upside; EPS +32%; Rev +30%
7,META,47.379639362504705,14.470265337066888,89.75034390277902,46.89850166485,Communication Services,1.309,16.8,43.0,1.12,+5.1% 1mo; +37.8% analyst upside; EPS +62%; Rev +33%
8,NEE,45.290386252217566,21.37752296027853,28.894678538170197,72.49953788751785,Utilities,0.733,22.1,61.5,1.07,+4.4% 1mo; +1.6% analyst upside; EPS +160%; Rev +7%
9,V,42.39976431915659,30.66964793512919,72.40645344717366,32.456453034924245,Financial Services,0.799,22.4,67.4,1.07,+9.9% 1mo; +21.2% analyst upside; EPS +36%; Rev +17%
10,ORCL,42.08567899369601,39.21890373235296,86.70777008448485,30.093173262033762,Technology,1.597,21.4,60.8,0.99,+18.7% 1mo; +41.6% analyst upside; EPS +24%; Rev +22%
11,BLK,40.74006207932105,28.884074708961183,61.04946574565234,39.30835222826103,Financial Services,1.493,17.5,59.8,0.61,+10.9% 1mo; +18.1% analyst upside; EPS +46%; Rev +27%
12,NFLX,39.138573791912776,10.431596230363272,61.93047702359694,49.69752482576965,Communication Services,1.669,24.0,29.0,0.85,-3.7% 1mo; +24.4% analyst upside; EPS +86%; Rev +16%
13,MSFT,39.0807024969032,28.557784495811617,91.43188643831311,28.683362024371146,Technology,1.107,21.5,62.9,1.0,+12.2% 1mo; +35.6% analyst upside; EPS +23%; Rev +18%
