rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,NVDA,71.39757862029717,35.050752741680434,82.7625697175481,100.0,Technology,2.244,17.0,62.5,1.0,+7.9% 1mo; +36.6% analyst upside; EPS +214%; Rev +85%
2,LLY,68.96317856659172,53.820819816874334,49.448855040216536,78.52005531966017,Healthcare,0.481,24.0,70.9,0.96,+16.3% 1mo; +13.7% analyst upside; EPS +170%; Rev +56%
3,AMD,60.57449721504852,100.0,39.15963459782657,50.021321434481,Technology,2.399,36.1,75.2,0.88,+53.1% 1mo; +1.0% analyst upside; EPS +91%; Rev +38%
4,GOOGL,46.78747446968855,41.95576497923148,55.402889651013155,43.25386130352981,Communication Services,1.267,26.5,49.8,0.95,+13.0% 1mo; +12.0% analyst upside; EPS +82%; Rev +22%
5,BRK-B,45.73841932353506,34.9560008985798,41.45054389991189,50.0754134502698,Financial Services,0.622,22.8,68.9,0.92,+3.4% 1mo; +7.0% analyst upside; EPS +120%; Rev +4%
6,CSCO,45.42880461154602,73.44081637820175,31.833625282721517,27.257601064381472,Technology,0.912,25.3,82.9,1.49,+35.9% 1mo; +3.4% analyst upside; EPS +37%; Rev +12%
7,AMZN,43.55779109494568,35.21833879161076,63.530673308094734,39.71723125788466,Consumer Cyclical,1.468,27.0,43.3,0.8,+4.4% 1mo; +17.4% analyst upside; EPS +75%; Rev +17%
8,META,40.551158125597844,21.174973893797766,77.61609523029499,40.74065135039843,Communication Services,1.243,16.9,49.9,0.82,-7.4% 1mo; +35.5% analyst upside; EPS +62%; Rev +33%
9,NEE,39.819789905653046,16.5878088501957,37.159366651782065,63.05619575363527,Utilities,0.721,20.2,31.7,1.4,-8.0% 1mo; +11.2% analyst upside; EPS +160%; Rev +7%
10,V,39.134474076965304,38.00311837606035,66.05197194730327,28.219847244300283,Financial Services,0.784,22.1,52.9,1.06,+6.7% 1mo; +21.2% analyst upside; EPS +36%; Rev +17%
11,NFLX,38.95899136571787,25.601272236573237,62.20022395515971,43.20961080632105,Communication Services,1.548,23.1,42.2,0.76,-4.5% 1mo; +29.3% analyst upside; EPS +86%; Rev +16%
12,ORCL,38.08325791815123,40.510287832733624,66.25440647867006,26.066284500274673,Technology,1.544,23.9,60.1,0.62,+9.0% 1mo; +27.0% analyst upside; EPS +24%; Rev +22%
13,BLK,37.030777632821675,31.908787812269324,55.381479858620665,34.14748201682834,Financial Services,1.456,17.7,55.5,0.78,+1.9% 1mo; +16.6% analyst upside; EPS +46%; Rev +27%
14,CRM,36.4542023725547,38.03347909189107,77.45165716843803,22.343403333055427,Technology,1.139,12.0,45.1,0.93,+3.9% 1mo; +45.7% analyst upside; EPS +18%; Rev +12%
15,AAPL,34.083481828963784,47.51772229874972,26.717415434081605,23.718186522562444,Technology,1.065,32.2,91.1,0.98,+13.0% 1mo; -0.1% analyst upside; EPS +22%; Rev +17%
16,MA,33.80389116823492,29.569345684815108,74.35831384324221,23.60134242429232,Financial Services,0.759,21.9,45.4,0.92,-0.8% 1mo; +29.8% analyst upside; EPS +21%; Rev +16%
17,CAT,33.64062337830359,36.18330585612281,25.450491120410458,27.75754311087253,Industrials,1.625,29.5,51.0,0.97,+5.3% 1mo; +4.6% analyst upside; EPS +30%; Rev +22%
18,BAC,33.59873117072148,31.566891183923413,66.42925982520829,23.511734098088247,Financial Services,1.221,10.3,47.5,0.94,-1.3% 1mo; +21.9% analyst upside; EPS +24%; Rev +8%
19,SPGI,33.359581256599526,27.00566779052483,74.73559265467271,25.71314905370083,Financial Services,1.105,18.8,45.0,1.08,-4.9% 1mo; +27.8% analyst upside; EPS +32%; Rev +10%
