rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,LLY,71.83566586346329,61.48514780105906,53.02490806847796,78.46551492641146,Healthcare,0.481,24.8,80.5,1.04,+30.0% 1mo; +10.0% analyst upside; EPS +170%; Rev +56%
2,NVDA,67.40290183058192,15.00859829105648,97.51961904225087,100.0,Technology,2.244,16.7,46.3,1.1,+0.9% 1mo; +40.6% analyst upside; EPS +214%; Rev +85%
3,AMD,58.7939428848444,100.0,35.709524069289785,49.94034918997839,Technology,2.399,39.8,67.0,0.85,+53.1% 1mo; -8.5% analyst upside; EPS +91%; Rev +38%
4,ORCL,51.28499649840668,88.96266706090789,55.45809161853803,25.912847879945023,Technology,1.544,28.1,68.5,0.67,+37.8% 1mo; +8.1% analyst upside; EPS +24%; Rev +22%
5,CSCO,44.48356855205294,65.82320812890627,38.49120280984524,27.221942927028376,Technology,0.912,25.2,80.5,1.18,+34.4% 1mo; +4.1% analyst upside; EPS +37%; Rev +12%
6,GOOGL,41.841418426570044,26.355834530688256,64.6187141495113,43.22732864330981,Communication Services,1.267,26.2,35.0,1.01,+8.7% 1mo; +13.2% analyst upside; EPS +82%; Rev +22%
7,BRK-B,41.63095692235605,16.130638974293195,51.01662920562996,50.06394961394586,Financial Services,0.622,22.3,48.4,1.01,-0.2% 1mo; +9.7% analyst upside; EPS +120%; Rev +4%
8,CRM,40.76364050243352,36.11584912885722,78.73789359707739,32.86585914596693,Technology,1.139,12.3,58.2,1.22,+5.5% 1mo; +34.5% analyst upside; EPS +52%; Rev +13%
9,AMZN,39.21029162159664,21.47291190672519,70.41408732206666,39.6730915864795,Consumer Cyclical,1.468,27.4,47.9,0.87,+2.9% 1mo; +15.5% analyst upside; EPS +75%; Rev +17%
10,META,37.75270115169927,13.411313190219238,82.94999503113291,40.67258390168246,Communication Services,1.243,17.5,64.0,0.92,-5.5% 1mo; +30.7% analyst upside; EPS +62%; Rev +33%
11,NEE,36.94721407275825,4.960284753441658,45.630780621048096,63.04417210118226,Utilities,0.721,19.8,31.7,1.72,-7.6% 1mo; +13.3% analyst upside; EPS +160%; Rev +7%
