rank,ticker,composite_score,momentum_score,analyst_score,fundamentals_score,sector,beta,forward_pe,rsi_14,vol_ratio,notes
1,CVX,80.8643128539465,67.17750776940073,34.83998449322419,100.0,Energy,0.491,15.9,65.2,0.93,+9.8% 1mo; +3.3% analyst upside; EPS +322%; Rev +54%
2,ABBV,68.11408251256864,49.07130547315797,40.52161548215902,83.2439819290835,Healthcare,0.281,15.8,40.1,0.64,+3.4% 1mo; +7.9% analyst upside; EPS +290%; Rev +10%
3,GOOGL,65.59177776402426,39.103722721287454,70.6580132430392,86.7803097559326,Communication Services,1.225,22.8,44.5,0.84,-1.4% 1mo; +26.5% analyst upside; EPS +294%; Rev +24%
4,CRM,61.45961310639009,100.0,34.9681790355895,41.96173774650299,Technology,1.202,15.5,71.2,1.08,+28.1% 1mo; +10.4% analyst upside; EPS +119%; Rev +11%
5,AMZN,59.376755351384105,33.83732847500891,75.81055758054418,73.26727814479106,Consumer Cyclical,1.443,24.7,48.0,0.68,-3.9% 1mo; +27.8% analyst upside; EPS +242%; Rev +20%
6,AVGO,58.74498291853786,14.49485635265409,95.66193944784368,80.87108562822283,Technology,1.457,18.7,45.1,1.24,-13.0% 1mo; +46.9% analyst upside; EPS +215%; Rev +86%
7,AMD,58.672991487595425,78.45678384635532,53.03450263199573,59.55432604594238,Technology,2.476,33.3,62.6,0.69,+6.9% 1mo; +19.2% analyst upside; EPS +160%; Rev +50%
8,NVDA,57.81779544277688,30.49546392368417,99.8920429312616,64.31417381200416,Technology,2.217,14.0,52.6,0.95,-2.5% 1mo; +49.9% analyst upside; EPS +128%; Rev +106%
9,XOM,46.75901848904567,56.38562770816469,3.757663867682131,47.532672494809006,Energy,0.175,15.4,51.6,0.9,+4.6% 1mo; +3.0% analyst upside; EPS +113%; Rev +44%
10,META,41.462397448346366,78.66282719403097,58.46531076442017,13.476802398048221,Communication Services,1.243,18.5,83.9,1.04,+12.0% 1mo; +17.0% analyst upside; EPS -13%; Rev +28%
11,ORCL,41.26481025846525,32.746725950376074,100.0,30.50745197743107,Technology,1.732,13.7,53.3,1.02,-2.0% 1mo; +59.1% analyst upside; EPS +55%; Rev +30%
12,PEP,39.60959097456376,38.25121127043912,7.800443084794646,45.422470495533446,Consumer Defensive,0.361,15.2,29.5,0.9,-0.7% 1mo; +13.7% analyst upside; EPS +137%; Rev +6%
13,BRK-B,38.68688320828404,43.60278694198189,16.413484521102344,38.79209023148491,Financial Services,0.603,23.0,77.0,0.91,+0.1% 1mo; +7.3% analyst upside; EPS +108%; Rev +10%
14,GS,38.19368014814065,41.238904175121235,3.7170121927057314,42.34690770582403,Financial Services,1.283,13.9,48.2,0.79,-0.3% 1mo; +10.9% analyst upside; EPS +92%; Rev +42%
15,AAPL,36.45822831992139,68.37107067358049,10.951286547339084,20.81544102256737,Technology,1.085,34.7,70.6,0.86,+9.9% 1mo; -2.0% analyst upside; EPS +29%; Rev +16%
16,TXN,36.23890604788195,47.25116348332938,36.22958487072117,27.911486779808374,Technology,1.314,25.2,54.0,0.67,-2.9% 1mo; +20.8% analyst upside; EPS +52%; Rev +23%
17,MSFT,36.18844623378963,40.82276773759564,60.069981824732025,22.09794986144051,Technology,1.108,21.0,57.5,0.55,+0.8% 1mo; +15.6% analyst upside; EPS +32%; Rev +18%
18,MA,34.895274630273846,42.83266638859967,58.35759015414479,18.910623133315095,Financial Services,0.735,24.7,42.7,0.72,+1.7% 1mo; +17.1% analyst upside; EPS +22%; Rev +14%
19,CAT,33.97720053786088,36.9917366819868,30.064062510872684,32.12589243095081,Industrials,1.594,25.3,46.8,0.73,-4.3% 1mo; +19.2% analyst upside; EPS +68%; Rev +24%
20,DHR,33.70280062267979,28.602211921140125,51.162244478521245,26.26642462431722,Healthcare,0.808,21.5,18.9,0.66,-2.7% 1mo; +14.5% analyst upside; EPS +60%; Rev +6%
21,V,32.97806037846999,47.06171495117192,53.839952569632054,16.1001531233458,Financial Services,0.761,24.7,49.4,0.63,+3.1% 1mo; +13.2% analyst upside; EPS +10%; Rev +14%
22,TSLA,32.96643382943098,65.31963770153877,10.54339151612695,14.735356371970058,Consumer Cyclical,1.845,169.3,51.0,1.08,+11.6% 1mo; +6.7% analyst upside; EPS -3%; Rev +26%
23,WFC,32.95501490607536,48.299021395882995,30.018739778582166,19.349455386653062,Financial Services,0.916,11.4,76.5,0.98,+1.5% 1mo; +11.5% analyst upside; EPS +25%; Rev +10%
24,SPGI,32.64940257913763,30.930234807331736,73.80320266846002,17.19818387636277,Financial Services,1.077,20.3,40.1,0.89,+0.4% 1mo; +26.7% analyst upside; EPS +18%; Rev +10%
25,MRK,32.61879818134898,53.15239887138746,31.646139601623908,12.060732414762372,Healthcare,0.226,15.1,35.3,0.83,+8.3% 1mo; +6.3% analyst upside; Rev +5%
26,BAC,32.41118388017765,35.953364138596314,45.12492547208509,23.044391868124585,Financial Services,1.164,11.8,62.0,0.96,-2.8% 1mo; +10.1% analyst upside; EPS +34%; Rev +17%
27,NFLX,32.14488223253041,44.98804498375503,46.43341798762356,16.240003463131526,Communication Services,1.526,20.3,43.9,0.66,+4.3% 1mo; +21.0% analyst upside; EPS +11%; Rev +13%
28,JPM,31.930004841721832,35.05241601673762,17.631701673180647,28.795163571336595,Financial Services,0.975,14.3,56.8,0.68,-2.5% 1mo; +5.6% analyst upside; EPS +47%; Rev +30%
29,KO,31.599871730848097,46.08069221590674,38.70223494025121,16.082608957131512,Consumer Defensive,0.342,25.0,35.2,0.88,+1.8% 1mo; +7.3% analyst upside; EPS +17%; Rev +7%
30,TMO,31.523258827407393,43.904995509152464,39.77415499379962,15.152657784957501,Healthcare,0.854,22.2,38.6,0.82,+1.1% 1mo; +5.8% analyst upside; EPS +9%; Rev +10%
31,ISRG,31.38828028286691,25.771052452466712,60.54658767547004,20.78734907465663,Healthcare,1.465,30.5,43.3,0.77,-8.0% 1mo; +29.0% analyst upside; EPS +26%; Rev +18%
32,CSCO,31.264931281551043,28.89020539402677,47.83073700404298,27.041030086040173,Technology,0.992,20.0,53.5,0.65,-9.5% 1mo; +22.7% analyst upside; EPS +52%; Rev +18%
33,PM,30.95712210776286,52.481431460130345,36.920093424491604,11.091785679072864,Consumer Defensive,0.395,20.8,54.7,0.8,+2.6% 1mo; +8.5% analyst upside; EPS -8%; Rev +10%
34,COST,30.55691788791294,28.529422809656456,38.1251065032245,25.894305184482853,Consumer Defensive,0.855,40.0,31.6,0.9,-4.7% 1mo; +18.5% analyst upside; EPS +46%; Rev +22%
35,BLK,30.308463729780673,23.6905211542617,63.25212701400569,22.082914987965825,Financial Services,1.429,16.8,30.6,0.77,-6.5% 1mo; +22.6% analyst upside; EPS +20%; Rev +31%
36,NEE,30.250472861360674,31.55450683851335,38.1293084189003,26.23525731023336,Utilities,0.644,18.7,45.0,1.03,-3.3% 1mo; +19.5% analyst upside; EPS +53%; Rev +12%
37,UNH,29.98805660924735,17.492431780987886,64.12436356933357,25.815377495290935,Healthcare,0.622,16.9,41.9,1.0,-6.5% 1mo; +25.4% analyst upside; EPS +62%; Rev +0%
38,LIN,28.73408212807122,32.962353195693964,49.180990833664524,15.309649257084526,Basic Materials,0.727,23.8,30.2,0.87,-2.4% 1mo; +16.8% analyst upside; EPS +11%; Rev +9%
39,JNJ,28.657544033554668,40.89786411803843,28.34182994124184,11.866317209643281,Healthcare,0.235,21.3,46.0,0.8,+2.3% 1mo; +4.6% analyst upside; EPS -1%; Rev +7%
40,ACN,26.092343129090978,43.52584487224532,9.238282751676957,14.543724797224892,Technology,1.092,12.5,48.6,0.5,+2.1% 1mo; -0.2% analyst upside; EPS +9%; Rev +6%
41,LLY,25.648465015525687,16.985545075726087,51.910627846493185,27.03169204620156,Healthcare,0.502,23.6,2.5,0.85,-8.4% 1mo; +18.2% analyst upside; EPS +26%; Rev +48%
42,WMT,25.34983871722024,24.77942055164362,57.38363226091875,9.484925091815027,Consumer Defensive,0.595,33.2,60.4,0.9,-7.4% 1mo; +18.9% analyst upside; EPS -9%; Rev +6%
43,INTU,24.931316177480394,26.666034457345983,44.80987752999378,13.821490934718097,Technology,0.976,11.8,26.9,0.73,-3.9% 1mo; +26.1% analyst upside; EPS -1%; Rev +14%
44,RTX,24.605834503675986,13.758697503401143,41.26796401120274,20.578763398558205,Industrials,0.287,25.2,21.9,0.72,-11.0% 1mo; +18.8% analyst upside; EPS +29%; Rev +14%
45,PG,24.55133749306933,44.04588839830163,21.68261715826656,7.322732840237939,Consumer Defensive,0.377,19.6,51.7,0.94,+0.8% 1mo; +10.6% analyst upside; EPS -16%; Rev +2%
46,MCD,23.121200063781725,20.422953946170864,40.86641078023017,12.975385218065796,Consumer Cyclical,0.414,18.1,22.2,0.95,-7.8% 1mo; +24.7% analyst upside; EPS +6%; Rev +4%
47,HD,22.484885363369635,17.37927035865147,39.88129797700001,13.080575674389605,Consumer Cyclical,0.955,19.3,24.5,0.88,-9.4% 1mo; +22.2% analyst upside; EPS +5%; Rev +6%
48,AMGN,20.609197591167543,0.0,0.0,28.643022583217054,Healthcare,0.426,15.5,18.8,1.05,-8.8% 1mo; +2.8% analyst upside; EPS +65%; Rev +10%
49,UPS,19.018553712037875,33.71291971292641,24.798943486007172,0.0,Industrials,1.038,12.4,43.3,0.74,-2.0% 1mo; +15.8% analyst upside; EPS -53%; Rev +8%
50,ABT,18.021232779480787,13.705867554247272,52.78367035153151,2.1525287219915077,Healthcare,0.586,16.8,12.5,0.74,-8.1% 1mo; +18.0% analyst upside; EPS -48%; Rev +13%
